#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	ecosystem	isolate	latitude	longitude	season	condition	description
SRR7450708	SRR7450708_1.fastq	SRR7450708_2.fastq	Buffalo	Serengeti	Buffalo	2.0209	34.4479			Syncerus caffer
SRR7450709	SRR7450709_1.fastq	SRR7450709_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0028	34.563			Connochaetes taurinus
SRR7450710	SRR7450710_1.fastq	SRR7450710_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0028	34.563			Connochaetes taurinus
SRR7450711	SRR7450711_1.fastq	SRR7450711_2.fastq	Wildebeest	Serengeti	Wildebeest	1.7898	34.7548			Connochaetes taurinus
SRR7450712	SRR7450712_1.fastq	SRR7450712_2.fastq	Wildebeest	Serengeti	Wildebeest	1.7898	34.7548			Connochaetes taurinus
SRR7450713	SRR7450713_1.fastq	SRR7450713_2.fastq	Topi	Serengeti	Topi	1.9798	34.1463			Damaliscus lunatus
SRR7450714	SRR7450714_1.fastq	SRR7450714_2.fastq	Wildebeest	Serengeti	Wildebeest	1.8791	34.7836			Connochaetes taurinus
SRR7450715	SRR7450715_1.fastq	SRR7450715_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0028	34.563			Connochaetes taurinus
SRR7450716	SRR7450716_1.fastq	SRR7450716_2.fastq	Wildebeest	Serengeti	Wildebeest	1.9939	34.5189			Connochaetes taurinus
SRR7450717	SRR7450717_1.fastq	SRR7450717_2.fastq	Wildebeest	Serengeti	Wildebeest	1.8791	34.7836			Connochaetes taurinus
SRR7450718	SRR7450718_1.fastq	SRR7450718_2.fastq	Sheep	Serengeti	Sheep	1.9986	34.3729			Ovis aries
SRR7450719	SRR7450719_1.fastq	SRR7450719_2.fastq	Buffalo	Serengeti	Buffalo	2.0209	34.4479			Syncerus caffer
SRR7450720	SRR7450720_1.fastq	SRR7450720_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0751	34.4984			Connochaetes taurinus
SRR7450721	SRR7450721_1.fastq	SRR7450721_2.fastq	Giraffe	Serengeti	Giraffe	2.0028	34.563			Giraffa camelopardalis
SRR7450722	SRR7450722_1.fastq	SRR7450722_2.fastq	Eland	Serengeti	Eland	2.0189	34.4164			Tragelaphus oryx
SRR7450723	SRR7450723_1.fastq	SRR7450723_2.fastq	Wildebeest	Serengeti	Wildebeest	1.9291	34.2791			Connochaetes taurinus
SRR7450724	SRR7450724_1.fastq	SRR7450724_2.fastq	Eland	Serengeti	Eland	2.0471	34.467			Tragelaphus oryx
SRR7450725	SRR7450725_1.fastq	SRR7450725_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0751	34.4984			Connochaetes taurinus
SRR7450726	SRR7450726_1.fastq	SRR7450726_2.fastq	Eland	Serengeti	Eland	1.8791	34.7836			Tragelaphus oryx
SRR7450727	SRR7450727_1.fastq	SRR7450727_2.fastq	Buffalo	Serengeti	Buffalo	2.0509	33.963			Syncerus caffer
SRR7450728	SRR7450728_1.fastq	SRR7450728_2.fastq	Buffalo	Serengeti	Buffalo	2.0509	33.963			Syncerus caffer
SRR7450729	SRR7450729_1.fastq	SRR7450729_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0509	33.963			Connochaetes taurinus
SRR7450730	SRR7450730_1.fastq	SRR7450730_2.fastq	Eland	Serengeti	Eland	2.0509	33.963			Tragelaphus oryx
SRR7450731	SRR7450731_1.fastq	SRR7450731_2.fastq	Buffalo	Serengeti	Buffalo	2.0509	33.963			Syncerus caffer
SRR7450732	SRR7450732_1.fastq	SRR7450732_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0509	33.963			Connochaetes taurinus
SRR7450733	SRR7450733_1.fastq	SRR7450733_2.fastq	Buffalo	Serengeti	Buffalo	2.0509	33.963			Syncerus caffer
SRR7450734	SRR7450734_1.fastq	SRR7450734_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0509	33.963			Connochaetes taurinus
SRR7450735	SRR7450735_1.fastq	SRR7450735_2.fastq	Topi	Serengeti	Topi	2.0509	33.963			Damaliscus lunatus
SRR7450736	SRR7450736_1.fastq	SRR7450736_2.fastq	Wildebeest	Serengeti	Wildebeest	1.8791	34.7836			Connochaetes taurinus
SRR7450737	SRR7450737_1.fastq	SRR7450737_2.fastq	Wildebeest	Serengeti	Wildebeest	1.98	34.146			Connochaetes taurinus
SRR7450738	SRR7450738_1.fastq	SRR7450738_2.fastq	Buffalo	Serengeti	Buffalo	2.0318	33.8599			Syncerus caffer
SRR7450739	SRR7450739_1.fastq	SRR7450739_2.fastq	Buffalo	Serengeti	Buffalo	2.0189	34.4164			Syncerus caffer
SRR7450740	SRR7450740_1.fastq	SRR7450740_2.fastq	Buffalo	Serengeti	Buffalo	2.0318	33.8599			Syncerus caffer
SRR7450741	SRR7450741_1.fastq	SRR7450741_2.fastq	Buffalo	Serengeti	Buffalo	2.0318	33.8599			Syncerus caffer
SRR7450742	SRR7450742_1.fastq	SRR7450742_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0318	33.8599			Connochaetes taurinus
SRR7450743	SRR7450743_1.fastq	SRR7450743_2.fastq	Wildebeest	Serengeti	Wildebeest	1.4197	34.7475			Connochaetes taurinus
SRR7450744	SRR7450744_1.fastq	SRR7450744_2.fastq	Porcupine	Serengeti	Porcupine	2.0531	33.9437			Hystrix cristata
SRR7450745	SRR7450745_1.fastq	SRR7450745_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0318	33.8599			Connochaetes taurinus
SRR7450746	SRR7450746_1.fastq	SRR7450746_2.fastq	Buffalo	Serengeti	Buffalo	2.0189	34.4164			Syncerus caffer
SRR7450747	SRR7450747_1.fastq	SRR7450747_2.fastq	Wildebeest	Serengeti	Wildebeest	1.5201	34.6631			Connochaetes taurinus
SRR7450748	SRR7450748_1.fastq	SRR7450748_2.fastq	Gazelle	Serengeti	Gazelle	2.0509	33.963			Eudorcas thomsonii
SRR7450749	SRR7450749_1.fastq	SRR7450749_2.fastq	Buffalo	Serengeti	Buffalo	2.0509	33.963			Syncerus caffer
SRR7450750	SRR7450750_1.fastq	SRR7450750_2.fastq	Buffalo	Serengeti	Buffalo	1.8791	34.7836			Syncerus caffer
SRR7450751	SRR7450751_1.fastq	SRR7450751_2.fastq	Rabbit	Serengeti	Rabbit	2.0509	33.963			Lepus microtis
SRR7450752	SRR7450752_1.fastq	SRR7450752_2.fastq	Buffalo	Serengeti	Buffalo	1.9871	34.105			Syncerus caffer
SRR7450753	SRR7450753_1.fastq	SRR7450753_2.fastq	Warthog	Serengeti	Warthog	1.4451	34.7022			Phacochoerus africanus
SRR7450754	SRR7450754_1.fastq	SRR7450754_2.fastq	Wildebeest	Serengeti	Wildebeest	1.9871	34.105			Connochaetes taurinus
SRR7450755	SRR7450755_1.fastq	SRR7450755_2.fastq	Wildebeest	Serengeti	Wildebeest	1.9871	34.105			Connochaetes taurinus
SRR7450756	SRR7450756_1.fastq	SRR7450756_2.fastq	Buffalo	Serengeti	Buffalo	1.9986	34.3729			Syncerus caffer
SRR7450757	SRR7450757_1.fastq	SRR7450757_2.fastq	Wildebeest	Serengeti	Wildebeest	1.7898	34.7548			Connochaetes taurinus
SRR7450758	SRR7450758_1.fastq	SRR7450758_2.fastq	Zebra	Serengeti	Zebra	2.0318	33.8598			Equus burchellii quagga
SRR7450759	SRR7450759_1.fastq	SRR7450759_2.fastq	Buffalo	Serengeti	Buffalo	2.0318	33.8599			Syncerus caffer
SRR7450760	SRR7450760_1.fastq	SRR7450760_2.fastq	Wildebeest	Serengeti	Wildebeest	1.5201	34.6631			Connochaetes taurinus
SRR7450761	SRR7450761_1.fastq	SRR7450761_2.fastq	Wildebeest	Serengeti	Wildebeest	1.5201	34.6631			Connochaetes taurinus
