#SampleID	BarcodeSequence	ForwardPrimerSequence	ReversePrimerSequence	ForwardRead	ReverseRead	origID	Sex	Time	DayID	DPW	Description
F6D015	NA	NA	NA	F6D15_S296_L001_R1_001.fastq.gz	F6D15_S296_L001_R2_001.fastq.gz	F6D15	Female	Early	D015	15	iMAPcasestudySet
F6D017	NA	NA	NA	F6D17_S297_L001_R1_001.fastq.gz	F6D17_S297_L001_R2_001.fastq.gz	F6D17	Female	Early	D017	17	iMAPcasestudySet
F6D019	NA	NA	NA	F6D19_S298_L001_R1_001.fastq.gz	F6D19_S298_L001_R2_001.fastq.gz	F6D19	Female	Early	D019	19	iMAPcasestudySet
F6D021	NA	NA	NA	F6D21_S299_L001_R1_001.fastq.gz	F6D21_S299_L001_R2_001.fastq.gz	F6D21	Female	Early	D021	21	iMAPcasestudySet
F6D025	NA	NA	NA	F6D25_S300_L001_R1_001.fastq.gz	F6D25_S300_L001_R2_001.fastq.gz	F6D25	Female	Early	D025	25	iMAPcasestudySet
F6D045	NA	NA	NA	F6D45_S301_L001_R1_001.fastq.gz	F6D45_S301_L001_R2_001.fastq.gz	F6D45	Female	Early	D045	45	iMAPcasestudySet
F6D065	NA	NA	NA	F6D65_S302_L001_R1_001.fastq.gz	F6D65_S302_L001_R2_001.fastq.gz	F6D65	Female	Early	D065	65	iMAPcasestudySet
F6D125	NA	NA	NA	F6D125_S303_L001_R1_001.fastq.gz	F6D125_S303_L001_R2_001.fastq.gz	F6D125	Female	Late	D125	125	iMAPcasestudySet
F6D141	NA	NA	NA	F6D141_S304_L001_R1_001.fastq.gz	F6D141_S304_L001_R2_001.fastq.gz	F6D141	Female	Late	D141	141	iMAPcasestudySet
F6D142	NA	NA	NA	F6D142_S305_L001_R1_001.fastq.gz	F6D142_S305_L001_R2_001.fastq.gz	F6D142	Female	Late	D142	142	iMAPcasestudySet
F6D143	NA	NA	NA	F6D143_S306_L001_R1_001.fastq.gz	F6D143_S306_L001_R2_001.fastq.gz	F6D143	Female	Late	D143	143	iMAPcasestudySet
F6D144	NA	NA	NA	F6D144_S307_L001_R1_001.fastq.gz	F6D144_S307_L001_R2_001.fastq.gz	F6D144	Female	Late	D144	144	iMAPcasestudySet
F6D145	NA	NA	NA	F6D145_S308_L001_R1_001.fastq.gz	F6D145_S308_L001_R2_001.fastq.gz	F6D145	Female	Late	D145	145	iMAPcasestudySet
F6D146	NA	NA	NA	F6D146_S309_L001_R1_001.fastq.gz	F6D146_S309_L001_R2_001.fastq.gz	F6D146	Female	Late	D146	146	iMAPcasestudySet
F6D147	NA	NA	NA	F6D147_S310_L001_R1_001.fastq.gz	F6D147_S310_L001_R2_001.fastq.gz	F6D147	Female	Late	D147	147	iMAPcasestudySet
F6D148	NA	NA	NA	F6D148_S311_L001_R1_001.fastq.gz	F6D148_S311_L001_R2_001.fastq.gz	F6D148	Female	Late	D148	148	iMAPcasestudySet
